Equipo,Tiros,A_Gol,Goles,Ratio_TiroAGolxTiro,Ratio_GolxTiro,Ratio_GolxTiroAGol
Chivas,4,2,1,0.5,0.25,0.5
Chivas,10,5,1,0.5,0.1,0.2
Chivas,10,2,1,0.2,0.1,0.5
Chivas,19,9,2,0.473684211,0.105263158,0.222222222
Chivas,23,3,0,0.130434783,0,0
Chivas,19,8,3,0.421052632,0.157894737,0.375
Chivas,5,3,2,0.6,0.4,0.666666667
Chivas,7,4,3,0.571428571,0.428571429,0.75
Chivas,14,3,3,0.214285714,0.214285714,1
Chivas,20,6,2,0.3,0.1,0.333333333
Chivas,12,1,0,0.083333333,0,0
Chivas,25,5,1,0.2,0.04,0.2
Chivas,8,3,2,0.375,0.25,0.666666667
Chivas,4,3,2,0.75,0.5,0.666666667
Chivas,11,4,0,0.363636364,0,0
Chivas,19,9,1,0.473684211,0.052631579,0.111111111
Chivas,7,3,1,0.428571429,0.142857143,0.333333333
Chivas,12,4,2,0.333333333,0.166666667,0.5
Chivas,10,5,1,0.5,0.1,0.2
Club Leon,14,4,2,0.285714286,0.142857143,0.5
Club Leon,10,2,2,0.2,0.2,1
Club Leon,7,4,3,0.571428571,0.428571429,0.75
Club Leon,27,7,0,0.259259259,0,0
Club Leon,24,13,4,0.541666667,0.166666667,0.307692308
Club Leon,14,5,2,0.357142857,0.142857143,0.4
Club Leon,4,1,1,0.25,0.25,1
Club Leon,11,6,3,0.545454545,0.272727273,0.5
Club Leon,16,5,3,0.3125,0.1875,0.6
Club Leon,24,8,3,0.333333333,0.125,0.375
Club Leon,10,5,3,0.5,0.3,0.6
Club Leon,12,5,1,0.416666667,0.083333333,0.2
Club Leon,22,9,2,0.409090909,0.090909091,0.222222222
Club Leon,13,6,3,0.461538462,0.230769231,0.5
Club Leon,19,5,2,0.263157895,0.105263158,0.4
Club Leon,13,5,3,0.384615385,0.230769231,0.6
Club Leon,13,8,5,0.615384615,0.384615385,0.625
Club Leon,12,3,1,0.25,0.083333333,0.333333333
Club Leon,13,3,2,0.230769231,0.153846154,0.666666667
Club Leon,16,6,3,0.375,0.1875,0.5
Club Leon,29,8,2,0.275862069,0.068965517,0.25
Club Leon,6,2,1,0.333333333,0.166666667,0.5
Club Leon,9,1,0,0.111111111,0,0
Club Leon,9,4,0,0.444444444,0,0
Club Leon,14,5,0,0.357142857,0,0
Club Leon,13,5,3,0.384615385,0.230769231,0.6
Club Leon,11,2,0,0.181818182,0,0
Club Leon,4,3,2,0.75,0.5,0.666666667
Club Leon,16,8,4,0.5,0.25,0.5
Club Leon,12,8,4,0.666666667,0.333333333,0.5
Club Leon,15,9,2,0.6,0.133333333,0.222222222
Club Leon,9,6,1,0.666666667,0.111111111,0.166666667
Club Leon,17,10,3,0.588235294,0.176470588,0.3
Club Leon,16,4,4,0.25,0.25,1
Club Leon,16,7,1,0.4375,0.0625,0.142857143
Club Leon,9,3,1,0.333333333,0.111111111,0.333333333
Club Leon,20,6,1,0.3,0.05,0.166666667
Club Leon,15,6,2,0.4,0.133333333,0.333333333
Club Leon,14,6,3,0.428571429,0.214285714,0.5
Club Leon,14,4,0,0.285714286,0,0
Club Leon,9,2,1,0.222222222,0.111111111,0.5
Club Leon,16,11,4,0.6875,0.25,0.363636364
Club Leon,7,4,2,0.571428571,0.285714286,0.5
Club Leon,13,4,3,0.307692308,0.230769231,0.75
Club Leon,18,6,1,0.333333333,0.055555556,0.166666667
Club Leon,8,5,3,0.625,0.375,0.6
Club Leon,10,3,2,0.3,0.2,0.666666667
Club Leon,15,9,3,0.6,0.2,0.333333333
Club Leon,9,5,2,0.555555556,0.222222222,0.4
Club Leon,15,6,3,0.4,0.2,0.5
Club Leon,7,3,1,0.428571429,0.142857143,0.333333333
Club Leon,13,5,2,0.384615385,0.153846154,0.4
Club Leon,5,3,2,0.6,0.4,0.666666667
Club Leon,20,10,3,0.5,0.15,0.3
Club Leon,8,2,0,0.25,0,0
Club Leon,20,6,4,0.3,0.2,0.666666667
FC Juarez,14,2,0,0.142857143,0,0
FC Juarez,1,0,0,0,0,#¡DIV/0!
FC Juarez,13,4,2,0.307692308,0.153846154,0.5
FC Juarez,12,5,0,0.416666667,0,0
FC Juarez,10,4,0,0.4,0,0
FC Juarez,11,3,1,0.272727273,0.090909091,0.333333333
FC Juarez,14,5,1,0.357142857,0.071428571,0.2
FC Juarez,4,1,1,0.25,0.25,1
FC Juarez,11,3,2,0.272727273,0.181818182,0.666666667
FC Juarez,10,2,1,0.2,0.1,0.5
FC Juarez,10,4,0,0.4,0,0
FC Juarez,19,3,1,0.157894737,0.052631579,0.333333333
FC Juarez,8,1,1,0.125,0.125,1
FC Juarez,10,4,1,0.4,0.1,0.25
FC Juarez,10,4,1,0.4,0.1,0.25
FC Juarez,10,7,3,0.7,0.3,0.428571429
FC Juarez,8,1,1,0.125,0.125,1
FC Juarez,9,7,1,0.777777778,0.111111111,0.142857143
FC Juarez,3,0,0,0,0,#¡DIV/0!
FC Juarez,10,7,4,0.7,0.4,0.571428571
FC Juarez,2,1,2,0.5,1,2
FC Juarez,14,4,3,0.285714286,0.214285714,0.75
FC Juarez,6,4,3,0.666666667,0.5,0.75
FC Juarez,18,8,3,0.444444444,0.166666667,0.375
FC Juarez,15,5,2,0.333333333,0.133333333,0.4
FC Juarez,4,2,1,0.5,0.25,0.5
FC Juarez,17,5,1,0.294117647,0.058823529,0.2
FC Juarez,9,5,3,0.555555556,0.333333333,0.6
FC Juarez,8,5,2,0.625,0.25,0.4
FC Juarez,8,1,1,0.125,0.125,1
FC Juarez,1,1,0,1,0,0
Atetico de San Luis,9,2,0,0.222222222,0,0
Atetico de San Luis,9,4,1,0.444444444,0.111111111,0.25
Atetico de San Luis,17,3,0,0.176470588,0,0
Atetico de San Luis,9,3,1,0.333333333,0.111111111,0.333333333
Atetico de San Luis,16,6,2,0.375,0.125,0.333333333
Atetico de San Luis,9,5,1,0.555555556,0.111111111,0.2
Atetico de San Luis,11,6,2,0.545454545,0.181818182,0.333333333
Atetico de San Luis,14,5,3,0.357142857,0.214285714,0.6
Atetico de San Luis,20,4,2,0.2,0.1,0.5
Atetico de San Luis,11,4,1,0.363636364,0.090909091,0.25
Atetico de San Luis,15,6,2,0.4,0.133333333,0.333333333
Atetico de San Luis,4,1,0,0.25,0,0
Atetico de San Luis,10,6,2,0.6,0.2,0.333333333
Atetico de San Luis,16,2,0,0.125,0,0
Atetico de San Luis,11,5,2,0.454545455,0.181818182,0.4
Atetico de San Luis,7,0,0,0,0,#¡DIV/0!
Atetico de San Luis,13,5,2,0.384615385,0.153846154,0.4
Atetico de San Luis,16,2,0,0.125,0,0
Atetico de San Luis,3,1,1,0.333333333,0.333333333,1
Atetico de San Luis,5,1,0,0.2,0,0
Atetico de San Luis,14,5,2,0.357142857,0.142857143,0.4
Atetico de San Luis,7,1,0,0.142857143,0,0
Atetico de San Luis,17,8,1,0.470588235,0.058823529,0.125
Atetico de San Luis,4,0,0,0,0,#¡DIV/0!
Atetico de San Luis,25,7,2,0.28,0.08,0.285714286
Atetico de San Luis,12,5,0,0.416666667,0,0
Atetico de San Luis,20,4,3,0.2,0.15,0.75
Atetico de San Luis,10,2,1,0.2,0.1,0.5
Atetico de San Luis,16,1,0,0.0625,0,0
Atetico de San Luis,13,4,2,0.307692308,0.153846154,0.5
Santos Laguna,14,3,0,0.214285714,0,0
Santos Laguna,15,5,1,0.333333333,0.066666667,0.2
Santos Laguna,23,9,1,0.391304348,0.043478261,0.111111111
Santos Laguna,11,5,1,0.454545455,0.090909091,0.2
Santos Laguna,9,3,1,0.333333333,0.111111111,0.333333333
Santos Laguna,12,4,1,0.333333333,0.083333333,0.25
Santos Laguna,8,4,2,0.5,0.25,0.5
Santos Laguna,17,10,6,0.588235294,0.352941176,0.6
Santos Laguna,20,8,4,0.4,0.2,0.5
Santos Laguna,17,8,5,0.470588235,0.294117647,0.625
Santos Laguna,15,7,0,0.466666667,0,0
Santos Laguna,9,4,2,0.444444444,0.222222222,0.5
Santos Laguna,21,8,2,0.380952381,0.095238095,0.25
Santos Laguna,17,6,4,0.352941176,0.235294118,0.666666667
Santos Laguna,13,6,1,0.461538462,0.076923077,0.166666667
Santos Laguna,15,5,0,0.333333333,0,0
Santos Laguna,14,8,0,0.571428571,0,0
Santos Laguna,16,1,0,0.0625,0,0
Santos Laguna,11,7,3,0.636363636,0.272727273,0.428571429
Santos Laguna,20,3,0,0.15,0,0
Santos Laguna,15,2,2,0.133333333,0.133333333,1
Santos Laguna,7,2,0,0.285714286,0,0
Santos Laguna,18,8,5,0.444444444,0.277777778,0.625
Santos Laguna,16,5,3,0.3125,0.1875,0.6
Santos Laguna,21,8,3,0.380952381,0.142857143,0.375
Santos Laguna,25,7,2,0.28,0.08,0.285714286
Santos Laguna,14,2,1,0.142857143,0.071428571,0.5
Santos Laguna,11,6,4,0.545454545,0.363636364,0.666666667
Santos Laguna,21,4,0,0.19047619,0,0
Santos Laguna,18,7,2,0.388888889,0.111111111,0.285714286
Santos Laguna,17,5,2,0.294117647,0.117647059,0.4
